Brand,Ram,Rom,Extended_Memory,Battery_capacity(mAh),Processor,Price
GIONEE,3,32,256,6000,Octa Core Processor,18999
I,,0.064,8,800,,15490
Kechaoda,,0.032,,2600,,6499
LAVA,2,16,128,3100,Unisoc Octa Core Processor,1999
Micromax,,0.032,,1000,,699
GFive,,0.032,,1000,,31999
GFive,,0.064,16,950,,39900
SAMSUNG,8,128,1000,7000,Exynos 9825 Processor,23999
APPLE,,,,,,20999
SAMSUNG,6,128,512,5000,MediaTek (MT6768) Octa Core Processor,35990
SAMSUNG,8,128,,7000,,32990
LAVA,,0.512,32,1750,NA Processor,32990
realme,6,128,256,4500,Qualcomm Snapdragon 720G Processor,35990
OPPO,4,128,,4230,,1259
ViVO,8,256,,4000,MediaTek Dimensity 800U Processor,18490
ViVO,8,128,,4000,MediaTek Dimensity 800U Processor,11499
ViVO,8,128,,4000,MediaTek Dimensity 800U Processor,31999
APPLE,,,,,,29990
Nokia,,0.04,,1020,MediaTek Processor,29999
GFive,,0.032,,1000,,18999
GFive,,0.032,,1000,,18999
OPPO,8,128,256,4310,,39900
Kechaoda,,0.032,,850,,859
Micromax,,0.032,,1800,,23999
SAMSUNG,8,128,512,4000,Exynos 9611 Processor,1299
LAVA,,0.512,32,1750,NA Processor,1079
Infinix,8,128,256,4500,MediaTek Helio G90T Processor,18999
Infinix,8,128,256,4500,MediaTek Helio G90T Processor,18999
APPLE,,,,,,39900
Kechaoda,,0.032,,300,,859
Voto,2,16,,3000,Spreadtrum SC9832 Cortex A7 Processor,1299
Ismart,,0.032,,1200,,1219
Snexian,,0.032,,800,,1219
REDMI,6,128,512,5000,Qualcomm Snapdragon 678 Processor,10999
GFive,,0.032,,1000,,1999
Kechaoda,,0.032,16,800,,1999
Kechaoda,,0.032,16,800,,79900
Geotel,,0.032,,1200,,18999
I,,0.064,8,800,,6499
Redmi,4,64,,5020,Qualcomm® Snapdragon™ 720G Processor,8999
Redmi,3,32,512,5000,Qualcomm Snapdragon 439 Processor,9990
Itel,,0.04,32,2500,SC6531E Processor,29999
Itel,,0.032,,1000,,11114
KARBONN,,0.032,32,1450,,13999
I,,0.064,,,,13999
Micromax,,0.032,,1800,,17999
Good,,0.032,32,1050,,11114
SAMSUNG,4,64,512,5000,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,20700
Itel,,0.08,32,2500,SC6531C Processor,13999
I,,0.064,,2500,,13999
Forme,,0.032,16,1900,NA Processor,1175
SAMSUNG,6,128,,6000,,29999
Itel,2,32,128,3000,Quad Core Processor,29999
Itel,2,32,128,3000,Quad Core Processor,32999
POCO,4,64,512,5000,Qualcomm Snapdragon 720G Processor,16999
APPLE,,,,,,84900
SAMSUNG,8,128,512,4500,Qualcomm SM7150 Processor,34999
SAMSUNG,4,64,1000,5000,Mediatek Helio P35 (MT6765) Processor,13999
BlackZone,,0.064,32,2000,,1130
APPLE,,,,,,47900
Itel,1,8,,2400,,4999
SAMSUNG,6,128,,6000,,20700
Itel,1,8,32,2400,Unisoc 9832E Quad Core Processor,18999
Itel,1,8,32,2400,Unisoc 9832E Quad Core Processor,12999
Snexian,,0.064,16,800,,1240
SAMSUNG,6,128,512,5000,Exynos 850 Octa Core Processor,8499
LAVA,3,32,128,3950,Octa Core Processor,14999
KARBONN,,0.032,,1750,,11999
Itel,,0.08,32,2500,SC6531C Processor,13999
Itel,,0.08,32,2500,SC6531C Processor,1240
Itel,,0.08,32,1900,SC6531C Processor,14999
Snexian,,0.032,,800,,12999
Itel,1,8,32,2400,Unisoc 9832E Quad Core Processor,13999
Itel,1,8,32,2400,Unisoc 9832E Quad Core Processor,11999
KARBONN,,0.032,16,3000,,40990
Infinix,4,64,256,5000,MediaTek Helio G70 Processor,1099
realme,4,64,256,6000,Mediatek Helio G35 Processor,18999
Tecno,6,128,256,6000,MediaTek Helio G80 Processor,1069
Tecno,4,64,256,6000,MediaTek Helio G80 Processor,18999
Micromax,,,,,,12999
Tecno,3,32,256,6000,MediaTek Helio A22 Quad Core Processor,9999
Tecno,3,32,256,6000,MediaTek Helio A22 Quad Core Processor,9999
Redmi,4,64,512,5020,Qualcomm® Snapdragon™ 720G Processor,16999
Redmi,4,64,512,5020,Qualcomm® Snapdragon™ 720G Processor,8999
realme,3,32,256,4230,MediaTek Helio P60 Octa Core 2.0 GHz Processor,55999
REDMI,6,64,512,4500,MediaTek Helio G90T Processor,11999
ASUS,8,128,,6000,Qualcomm Snapdragon 888 (SM8350) Processor,55999
Itel,,0.04,32,2500,SC6531E Processor,799
